name,party,Constituency & State,gender,is_nominated,nth loksabha
"Keskar,Dr. Balkrishna Vishwanath",Congress,Sultanpur Distt. (South) (Uttar Pradesh ),male,0,1
"Khan,Shri Sadath Ali",Congress,Ibrahimpatnam (Hyderabad ),male,0,1
"Khan,Shri Shah Nawaz",Congress,Meerut North East (Uttar Pradesh ),male,0,1
"Khardekar,Shri Balasaheb Hanumantrao",Ind.,Kolhapur-cum-Satara-SC (Bombay ),male,0,1
"Khare,Dr. Narayan Bhaskar",Hindu Mahasabha,Gwalior (Madhya Bharat ),male,0,1
"Khedkar,Shri Gopalrao Bajirao",Congress,Buldana-Akola (Madhya Pradesh ),male,0,1
"Khimji,Shri Bhawanji Arjan",Congress,Kutch West (Kutch ),male,0,1
"Khongmen,Smt. Bonily",Congress,Autonomous District-ST (Assam ),female,0,1
"Khuda Bukhsh,Shri Muhammed",Congress,Murshidabad (West Bengal ),male,0,1
"Kidwai,Shri Rafi Ahmed",Congress,Bahraich (Uttar Pradesh ),male,0,1
"Kirolikar,Shri Wasudeo Shridhar",Congress,Durg (Madhya Pradesh ),male,0,1
"Kolay,Shri Jagannath",Congress,Bankura (West Bengal ),male,0,1
"Kottukapally,Shri George Thomas",Congress,Meenachil (Travancore-Cochin ),male,0,1
"Kripalani,Acharya J.B.",PSP,Bhagalpur cum Purnea-SC (Bihar ),male,0,1
"Kripalani,Smt. Sucheta",KMPP,New Delhi (NCT of Delhi ),female,0,1
"Krishna,Shri M.R.",SCF,Karimnagar-SC (Hyderabad ),male,0,1
"Krishna Chandra,Shri",Congress,Mathura Distt West (Uttar Pradesh ),male,0,1
"Krishnamachari,Shri T.T.",Congress,Madras (Madras ),male,0,1
"Krishnappa,Shri M.V.",Congress,Kolar-SC (Mysore ),male,0,1
"Krishnaswami,Dr. A.",Ind.,Kancheepuram (Madras ),male,0,1
"Kumbhar,Shri Ratnappa Bharamappa",Congress,Kolhapur-cum-Satara-SC (Bombay ),male,0,1
"Kureel,Shri Baijnath",Congress,Pratapgarh Distt. (West) cum Raebareli Distt. (East)-SC (Uttar Pradesh ),male,0,1
"Lakshmayya,Shri Paidi",Congress,Anantapur (Madras ),male,0,1
"Lallanji,Shri",Congress,Faizabad Dist. (North-West)-SC (Uttar Pradesh ),male,0,1
"Lanka Sundaram,Dr.",Ind.,Vishakapatnam (Madras ),male,0,1
"Laskar,Prof. Nibaran Chandra",Congress,Cachar-Lusai Hills-SC (Assam ),male,0,1
"Lingam,Shri N.M.",Congress,Coimbatore (Madras ),male,0,1
"Lotan Ram,Shri",Congress,Jalaun Dist. cum Etawah Dist.(W) cum Jhansi Dist.(North)-SC (Uttar Pradesh ),male,0,1
"Madiah Gowda,Shri T.",Congress,Bangalore South (Mysore ),male,0,1
"Mahapatra,Shri Sibnarayan Singh",Congress,Sundergarh-ST (Odisha ),male,0,1
"Mahata,Shri Bhajahari",MLSS,Manbhum South cum Dhalbhum-ST (Bihar ),male,0,1
"Maheshwari,Dr. Govind Das Jeewan Das",Congress,Mandla Jabalpur South (Madhya Pradesh ),male,0,1
"Mahodaya,Shri Vaijanath",Congress,Nimar (Madhya Bharat ),male,0,1
"Mahtab,Shri Harekrushna",Congress,Cuttack (Odisha ),male,0,1
"Maitra,Pandit Lakshmi Kant",Congress,Nabadwip-SC (West Bengal ),male,0,1
"Maitra,Shri Mohit Kumar",Ind.,Calcutta North West (West Bengal ),male,0,1
"Majhi,Shri Chaitan",MLSS,Manbhum South cum Dhalbhum-ST (Bihar ),male,0,1
"Majhi,Shri Ram Chandra",Congress,Mayurbhanj-ST (Odisha ),male,0,1
"Majithia,Sardar Surjit Singh",Congress,Taran Taran (Punjab ),male,0,1
"Malaviya,Shri Keshav Dev",Congress,Gonda Distt. (East) cum Basti Distt. (West) (Uttar Pradesh ),male,0,1
"Malliah,Shri U. Srinivasa",Congress,South kanara North (Madras ),male,0,1
"Malludora,Shri Gam",Ind.,Vishakapatnam (Madras ),male,0,1
"Malvia,Shri Bhagu Nandu",Congress,Shajapur-Rajagarh (Madhya Bharat ),male,0,1
"Malviya,Pandit Chatur Narain",Congress,Raisen (Bhopal ),male,0,1
"Malviya,Shri Moti Lal",Congress,Chhatarpur-Datia-Tikamgarh-SC (Vindhya Pradesh ),male,0,1
"Mandal,Dr. Pashupati",Congress,Bankura (West Bengal ),male,0,1
"Mascarene,Kumari Annie",Ind.,Trivandrum (Travancore-Cochin ),female,0,1
"Masuodi Maulana,Mohammad Saeed",NM,,male,1,1
"Masuriya Din,Shri",Congress,Allahabad District (East) cum Jaunpur Distt.(West)-SC (Uttar Pradesh ),male,0,1
"Mathew,Prof. C.P.",Congress,Kottayam (Travancore-Cochin ),male,0,1
"Mathuram,Dr. Edward Paul",Ind.,Tiruchirapalli (Madras ),male,0,1
"Matthen,Shri C.P.",Congress,Thiruvellah (Travancore-Cochin ),male,0,1
"Mavalankar,Shri Ganesh Vasudeo",Congress,Ahmedabad-SC (Bombay ),male,0,1
"Mavalankar,Smt. Sushila Ganesh",Congress,Ahmedabad-SC (Bombay ),female,0,1
"Maydeo,Smt. Indira Anant",Congress,Poona South (Bombay ),female,0,1
"Mehta,Shri Balvantray Gopalji",Congress,Gohilwad (Saurashtra ),male,0,1
"Mehta,Shri Balwant Sinha",Congress,Udaipur (Rajasthan ),male,0,1
